Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Store_ID,Location,Size,Category
1,11/24/2024,CUST001,Male,34,Beauty,3,50,150,S010,New Orleans,Large,Online
8,2/22/2024,CUST008,Male,30,Electronics,4,25,100,S010,New Orleans,Large,Online
17,4/22/2024,CUST017,Female,27,Clothing,4,25,100,S010,New Orleans,Large,Online
21,1/14/2024,CUST021,Female,50,Beauty,1,500,500,S010,New Orleans,Large,Online
27,8/3/2024,CUST027,Female,38,Beauty,2,25,50,S010,New Orleans,Large,Online
32,1/4/2024,CUST032,Male,30,Beauty,3,30,90,S010,New Orleans,Large,Online
34,12/24/2024,CUST034,Female,51,Clothing,3,50,150,S010,New Orleans,Large,Online
40,6/22/2024,CUST040,Male,45,Beauty,1,50,50,S010,New Orleans,Large,Online
43,7/14/2024,CUST043,Female,48,Clothing,1,300,300,S010,New Orleans,Large,Online
56,5/31/2024,CUST056,Female,26,Clothing,3,300,900,S010,New Orleans,Large,Online
60,10/23/2024,CUST060,Male,30,Beauty,3,50,150,S010,New Orleans,Large,Online
77,7/9/2024,CUST077,Female,47,Clothing,2,50,100,S010,New Orleans,Large,Online
78,7/1/2024,CUST078,Female,47,Clothing,3,500,1500,S010,New Orleans,Large,Online
85,2/6/2024,CUST085,Male,31,Clothing,3,50,150,S010,New Orleans,Large,Online
98,4/23/2024,CUST098,Female,55,Beauty,2,50,100,S010,New Orleans,Large,Online
99,12/17/2024,CUST099,Female,50,Electronics,4,300,1200,S010,New Orleans,Large,Online
100,6/16/2024,CUST100,Male,41,Electronics,1,30,30,S010,New Orleans,Large,Online
104,6/11/2024,CUST104,Female,34,Beauty,2,500,1000,S010,New Orleans,Large,Online
112,12/2/2024,CUST112,Male,37,Clothing,3,500,1500,S010,New Orleans,Large,Online
117,3/15/2024,CUST117,Male,19,Electronics,2,500,1000,S010,New Orleans,Large,Online
146,8/28/2024,CUST146,Male,38,Clothing,4,50,200,S010,New Orleans,Large,Online
155,5/17/2024,CUST155,Male,31,Electronics,4,500,2000,S010,New Orleans,Large,Online
184,1/10/2024,CUST184,Male,31,Electronics,4,50,200,S010,New Orleans,Large,Online
194,9/6/2024,CUST194,Male,55,Clothing,4,50,200,S010,New Orleans,Large,Online
195,2/5/2024,CUST195,Male,52,Clothing,1,30,30,S010,New Orleans,Large,Online
216,7/11/2024,CUST216,Male,62,Electronics,2,50,100,S010,New Orleans,Large,Online
237,2/4/2024,CUST237,Female,50,Beauty,2,500,1000,S010,New Orleans,Large,Online
243,5/23/2024,CUST243,Female,47,Electronics,3,300,900,S010,New Orleans,Large,Online
293,5/2/2024,CUST293,Male,50,Electronics,3,30,90,S010,New Orleans,Large,Online
297,9/4/2024,CUST297,Female,40,Electronics,2,500,1000,S010,New Orleans,Large,Online
305,5/16/2024,CUST305,Female,18,Beauty,1,30,30,S010,New Orleans,Large,Online
322,1/30/2024,CUST322,Male,51,Electronics,1,500,500,S010,New Orleans,Large,Online
324,10/27/2024,CUST324,Female,52,Electronics,3,50,150,S010,New Orleans,Large,Online
332,4/6/2024,CUST332,Male,58,Electronics,4,300,1200,S010,New Orleans,Large,Online
342,10/24/2024,CUST342,Female,43,Clothing,4,500,2000,S010,New Orleans,Large,Online
344,1/21/2024,CUST344,Female,42,Beauty,1,30,30,S010,New Orleans,Large,Online
380,5/6/2024,CUST380,Male,56,Electronics,2,300,600,S010,New Orleans,Large,Online
392,12/8/2024,CUST392,Male,27,Clothing,2,300,600,S010,New Orleans,Large,Online
404,5/25/2024,CUST404,Male,46,Electronics,2,500,1000,S010,New Orleans,Large,Online
411,5/16/2024,CUST411,Male,62,Electronics,4,50,200,S010,New Orleans,Large,Online
415,1/27/2024,CUST415,Male,53,Clothing,2,30,60,S010,New Orleans,Large,Online
427,8/15/2024,CUST427,Male,25,Electronics,1,25,25,S010,New Orleans,Large,Online
432,1/5/2024,CUST432,Female,60,Electronics,2,500,1000,S010,New Orleans,Large,Online
440,10/26/2024,CUST440,Male,64,Clothing,2,300,600,S010,New Orleans,Large,Online
442,3/17/2024,CUST442,Female,60,Clothing,4,25,100,S010,New Orleans,Large,Online
448,1/21/2024,CUST448,Female,54,Beauty,2,30,60,S010,New Orleans,Large,Online
451,12/16/2024,CUST451,Female,45,Electronics,1,30,30,S010,New Orleans,Large,Online
455,7/1/2024,CUST455,Male,31,Electronics,4,25,100,S010,New Orleans,Large,Online
467,7/30/2024,CUST467,Female,53,Electronics,3,50,150,S010,New Orleans,Large,Online
479,8/24/2024,CUST479,Male,52,Electronics,4,300,1200,S010,New Orleans,Large,Online
480,6/29/2024,CUST480,Female,42,Beauty,4,500,2000,S010,New Orleans,Large,Online
484,1/13/2024,CUST484,Female,19,Clothing,4,300,1200,S010,New Orleans,Large,Online
505,1/20/2024,CUST505,Male,24,Beauty,1,50,50,S010,New Orleans,Large,Online
525,12/18/2024,CUST525,Female,47,Beauty,2,25,50,S010,New Orleans,Large,Online
526,12/10/2024,CUST526,Male,33,Clothing,2,50,100,S010,New Orleans,Large,Online
546,10/11/2024,CUST546,Female,36,Electronics,4,50,200,S010,New Orleans,Large,Online
