Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Store_ID,Location,Size,Category,Year,Month,Day,Weekday,Is_Weekend,onetime_customers,repeat_customers,latitude,longitude,is_holiday,holiday_name,temperature,season,weather_condition
1,11/24/2024,1,Male,34,Beauty,3,50,150,S010,New Orleans,Large,online,2024,11,24,Sunday,TRUE,1,FALSE,29.9759983,-90.0782127,FALSE,,73,Autumn,Overcast
2,12/13/2024,1,Male,63,Electronics,2,300,2600,S010,New Orleans,Large,online,2024,12,13,Friday,FALSE,1,FALSE,29.9759983,-90.0782127,TRUE,Friday the 13th,86,Winter,Foggy
3,2/17/2024,1,Male,19,Clothing,3,500,1500,S010,New Orleans,Large,online,2024,2,17,Saturday,TRUE,1,FALSE,29.9759983,-90.0782127,FALSE,,82,Winter,Sunny
4,4/12/2024,1,Female,35,Clothing,4,30,1120,S010,New Orleans,Large,online,2024,4,12,Friday,FALSE,1,FALSE,29.9759983,-90.0782127,TRUE,International Day of Human Space Flight,92,Spring,Cloudy
5,11/22/2024,1,Female,18,Beauty,4,500,2000,S010,New Orleans,Large,online,2024,11,22,Friday,FALSE,1,FALSE,29.9759983,-90.0782127,FALSE,,71,Autumn,Foggy
6,7/1/2024,1,Female,47,Clothing,3,500,1500,S010,New Orleans,Large,online,2024,7,1,Monday,FALSE,1,FALSE,29.9759983,-90.0782127,FALSE,,72,Summer,Clear Skies
7,4/18/2024,1,Male,34,Beauty,1,300,300,S010,New Orleans,Large,online,2024,4,18,Thursday,FALSE,1,FALSE,29.9759983,-90.0782127,TRUE,International Day for Monuments and Sites,70,Spring,Sunny
8,10/3/2024,1,Male,64,Electronics,4,30,120,S010,New Orleans,Large,online,2024,10,3,Thursday,FALSE,1,FALSE,29.9759983,-90.0782127,TRUE,Navratri,65,Autumn,Windy
9,11/2/2024,1,Female,22,Electronics,1,50,50,S010,New Orleans,Large,online,2024,11,2,Saturday,TRUE,1,FALSE,29.9759983,-90.0782127,TRUE,All Souls' Day,82,Autumn,Foggy
10,8/28/2024,1,Male,38,Clothing,4,50,200,S010,New Orleans,Large,online,2024,8,28,Wednesday,FALSE,1,FALSE,29.9759983,-90.0782127,FALSE,,61,Summer,Clear Skies
11,10/2/2024,1,Male,51,Electronics,3,300,900,S010,New Orleans,Large,online,2024,10,2,Wednesday,FALSE,1,FALSE,29.9759983,-90.0782127,TRUE,International Day of Non-Violence,69,Autumn,Cloudy
12,6/24/2024,1,Male,62,Electronics,4,500,2000,S010,New Orleans,Large,online,2024,6,24,Monday,FALSE,1,FALSE,29.9759983,-90.0782127,FALSE,,65,Summer,Sunny
13,8/11/2024,1,Female,43,Clothing,2,50,100,S010,New Orleans,Large,online,2024,8,11,Sunday,TRUE,1,FALSE,29.9759983,-90.0782127,FALSE,,53,Summer,Clear Skies
14,9/14/2024,1,Female,60,Clothing,4,300,1200,S010,New Orleans,Large,online,2024,9,14,Saturday,TRUE,1,FALSE,29.9759983,-90.0782127,FALSE,,92,Autumn,Windy
15,11/17/2024,1,Male,18,Beauty,3,500,1500,S010,New Orleans,Large,online,2024,11,17,Sunday,TRUE,1,FALSE,29.9759983,-90.0782127,TRUE,World Day of Remembrance for Road Traffic Victims,75,Autumn,Foggy
16,2/2/2024,1,Female,64,Clothing,1,25,25,S010,New Orleans,Large,online,2024,2,2,Friday,FALSE,1,FALSE,29.9759983,-90.0782127,TRUE,World Wetlands Day,60,Winter,Sunny
17,6/19/2024,1,Male,38,Electronics,3,500,1500,S010,New Orleans,Large,online,2024,6,19,Wednesday,FALSE,1,FALSE,29.9759983,-90.0782127,TRUE,International Day for the Elimination of Sexual Violence in Conflict,54,Summer,Drizzle
18,9/6/2024,1,Male,47,Clothing,3,30,90,S010,New Orleans,Large,online,2024,9,6,Friday,FALSE,1,FALSE,29.9759983,-90.0782127,TRUE,Ganesh Chaturthi,82,Autumn,Windy
19,10/4/2024,1,Male,41,Electronics,2,30,60,S010,New Orleans,Large,online,2024,10,4,Friday,FALSE,1,FALSE,29.9759983,-90.0782127,TRUE,Feast of St Francis of Assisi,57,Autumn,Foggy
20,7/28/2024,1,Male,41,Electronics,1,500,500,S010,New Orleans,Large,online,2024,7,28,Sunday,TRUE,1,FALSE,29.9759983,-90.0782127,TRUE,World Hepatitis Day,73,Summer,Clear Skies
21,12/4/2024,1,Female,37,Clothing,1,50,50,S010,New Orleans,Large,online,2024,12,4,Wednesday,FALSE,1,FALSE,29.9759983,-90.0782127,TRUE,International Day of Banks,80,Winter,Sunny
22,8/15/2024,1,Female,31,Electronics,1,25,25,S010,New Orleans,Large,online,2024,8,15,Thursday,FALSE,1,FALSE,29.9759983,-90.0782127,TRUE,Assumption of Mary,60,Summer,Heatwave
23,10/9/2024,1,Male,55,Electronics,2,25,50,S010,New Orleans,Large,online,2024,10,9,Wednesday,FALSE,1,FALSE,29.9759983,-90.0782127,TRUE,World Post Day,67,Autumn,Windy
24,1/30/2024,1,Male,22,Electronics,3,30,90,S010,New Orleans,Large,online,2024,1,30,Tuesday,FALSE,1,FALSE,29.9759983,-90.0782127,FALSE,,70,Winter,Snow
25,10/27/2024,1,Female,52,Electronics,3,50,1150,S010,New Orleans,Large,online,2024,10,27,Sunday,TRUE,1,FALSE,29.9759983,-90.0782127,TRUE,World Day for Audiovisual Heritage,86,Autumn,Cloudy
26,9/18/2024,1,Female,25,Beauty,4,50,200,S010,New Orleans,Large,online,2024,9,18,Wednesday,FALSE,1,FALSE,29.9759983,-90.0782127,TRUE,International Equal Pay Day,57,Autumn,Foggy
27,2/11/2024,1,Male,28,Electronics,3,30,90,S010,New Orleans,Large,online,2024,2,11,Sunday,TRUE,1,FALSE,29.9759983,-90.0782127,TRUE,International Day of Women and Girls in Science,94,Winter,Sunny
28,2/5/2024,1,Female,54,Electronics,4,300,1200,S010,New Orleans,Large,online,2024,2,5,Monday,FALSE,1,FALSE,29.9759983,-90.0782127,FALSE,,94,Winter,Foggy
